date_key,date,year,month,day,weekday
20250101,01/01/2025,2025.0,1,1,Wednesday
20250102,02/01/2025,2025.0,1,2,Thursday
20250103,03/01/2025,2025.0,1,3,Friday
20250104,2025-01-04,2025.0,1,4,Saturday
20250105,2025-01-05,2025.0,1,5,Sunday
20250106,06/01/2025,2025.0,1,6,Monday
20250107,07/01/2025,2025.0,1,7,Tuesday
20250108,2025-01-08,2025.0,1,8,Wednesday
20250109,2025-01-09,2025.0,1,9,Thursday
20250110,10/01/2025,2025.0,1,10,Friday
20250111,"Jan 11, 2025",2025.0,1,11,Saturday
20250112,"Jan 12, 2025",2025.0,1,12,Sunday
20250113,13/01/2025,2025.0,1,13,Monday
20250114,14/01/2025,2025.0,1,14,Tuesday
20250115,15/01/2025,2025.0,1,15,Wednesday
20250116,"Jan 16, 2025",2025.0,1,16,Thursday
20250117,2025-01-17,2025.0,1,17,Friday
20250118,18/01/2025,2025.0,1,18,Saturday
20250119,19/01/2025,2025.0,1,19,Sunday
20250120,20/01/2025,2025.0,1,20,Monday
20250121,21/01/2025,2025.0,1,21,Tuesday
20250122,2025-01-22,2025.0,1,22,Wednesday
20250123,23/01/2025,2025.0,1,23,Thursday
20250124,"Jan 24, 2025",2025.0,1,24,Friday
20250125,"Jan 25, 2025",2025.0,1,25,Saturday
20250126,2025-01-26,2025.0,1,26,Sunday
20250127,2025-01-27,2025.0,1,27,Monday
20250128,"Jan 28, 2025",2025.0,1,28,Tuesday
20250129,2025-01-29,2025.0,1,29,Wednesday
20250130,"Jan 30, 2025",2025.0,1,30,Thursday
20250131,31/01/2025,2025.0,1,31,Friday
20250201,2025-02-01,2025.0,2,1,Saturday
20250202,2025-02-02,2025.0,2,2,Sunday
20250203,"Feb 03, 2025",2025.0,2,3,Monday
20250204,"Feb 04, 2025",2025.0,2,4,Tuesday
20250205,"Feb 05, 2025",2025.0,2,5,Wednesday
20250206,"Feb 06, 2025",2025.0,2,6,Thursday
20250207,2025-02-07,2025.0,2,7,Friday
20250208,08/02/2025,2025.0,2,8,Saturday
20250209,09/02/2025,2025.0,2,9,Sunday
20250210,2025-02-10,2025.0,2,10,Monday
20250211,11/02/2025,2025.0,2,11,Tuesday
20250212,2025-02-12,2025.0,2,12,Wednesday
20250213,"Feb 13, 2025",2025.0,2,13,Thursday
20250214,2025-02-14,2025.0,2,14,Friday
20250215,2025-02-15,2025.0,2,15,Saturday
20250216,"Feb 16, 2025",2025.0,2,16,Sunday
20250217,2025-02-17,2025.0,2,17,Monday
20250218,18/02/2025,2025.0,2,18,Tuesday
20250219,19/02/2025,2025.0,2,19,Wednesday
20250220,20/02/2025,2025.0,2,20,Thursday
20250221,21/02/2025,2025.0,2,21,Friday
20250222,"Feb 22, 2025",2025.0,2,22,Saturday
20250223,"Feb 23, 2025",2025.0,2,23,Sunday
20250224,2025-02-24,2025.0,2,24,Monday
20250225,25/02/2025,2025.0,2,25,Tuesday
20250226,"Feb 26, 2025",2025.0,2,26,Wednesday
20250227,2025-02-27,2025.0,2,27,Thursday
20250228,28/02/2025,2025.0,2,28,Friday
20250301,01/03/2025,2025.0,3,1,Saturday
20250302,2025-03-02,2025.0,3,2,Sunday
20250303,03/03/2025,2025.0,3,3,Monday
20250304,"Mar 04, 2025",2025.0,3,4,Tuesday
20250305,"Mar 05, 2025",2025.0,3,5,Wednesday
20250306,06/03/2025,2025.0,3,6,Thursday
20250307,"Mar 07, 2025",2025.0,3,7,Friday
20250308,2025-03-08,2025.0,3,8,Saturday
20250309,"Mar 09, 2025",2025.0,3,9,Sunday
20250310,10/03/2025,2025.0,3,10,Monday
20250311,2025-03-11,2025.0,3,11,Tuesday
20250312,12/03/2025,2025.0,3,12,Wednesday
20250313,2025-03-13,2025.0,3,13,Thursday
20250314,2025-03-14,2025.0,3,14,Friday
20250315,2025-03-15,2025.0,3,15,Saturday
20250316,2025-03-16,2025.0,3,16,Sunday
20250317,2025-03-17,2025.0,3,17,Monday
20250318,"Mar 18, 2025",2025.0,3,18,Tuesday
20250319,"Mar 19, 2025",2025.0,3,19,Wednesday
20250320,2025-03-20,2025.0,3,20,Thursday
20250321,21/03/2025,2025.0,3,21,Friday
20250322,"Mar 22, 2025",2025.0,3,22,Saturday
20250323,23/03/2025,2025.0,3,23,Sunday
20250324,"Mar 24, 2025",2025.0,3,24,Monday
20250325,25/03/2025,2025.0,3,25,Tuesday
20250326,26/03/2025,2025.0,3,26,Wednesday
20250327,"Mar 27, 2025",2025.0,3,27,Thursday
20250328,2025-03-28,2025.0,3,28,Friday
20250329,"Mar 29, 2025",2025.0,3,29,Saturday
20250330,30/03/2025,2025.0,3,30,Sunday
20250331,31/03/2025,2025.0,3,31,Monday
20250106,,,0,99,N/A
