sale_id,sale_date,product_id,quantity,revenue,notes
1,10/03/2025,03,,,
2,18/01/2025,004,2,259.69863298663046,
3,"Feb 06, 2025",2,9,,
4,13/01/2025,,,$178.63,
5,"Mar 24, 2025",,2,-27.291791171238074,
6,15/01/2025,2,,$183.84,
7,2025-01-05,004,11,,urgent
8,"Mar 27, 2025",,12,$187.48,
9,2025-02-02,2,6,,
10,2025-02-12,1,,89.82857493361891,
11,"Mar 04, 2025",004,3,$58.79,
12,25/03/2025,03,13,,
13,"Mar 18, 2025",1,7,,
14,"Feb 26, 2025",X,1,244.76546135199743,urgent
15,06/01/2025,004,2,$46.51,
16,2025-03-20,1,16,,
17,2025-02-10,03,,-77.81608716296759,
18,06/03/2025,2,,,
19,2025-02-15,03,5,,urgent
20,"Mar 07, 2025",,8,,
21,06/01/2025,2,3,104.46528201604994,
22,30/03/2025,1,,16.17330257443865,urgent
23,25/03/2025,004,4,,
24,"Feb 16, 2025",X,12,303.1959692942851,urgent
25,"Mar 29, 2025",2,7,$44.26,urgent
26,2025-02-01,2,4,381.54554160965944,
27,2025-02-14,2,5,,
28,02/01/2025,004,7,$24.06,
29,2025-01-27,03,15,$172.32,
30,"Jan 28, 2025",004,18,$63.47,urgent
31,10/01/2025,004,6,,
32,23/03/2025,1,5,$190.70,
33,30/03/2025,X,,213.55913829681856,urgent
34,2025-02-14,1,16,,urgent
35,2025-02-07,,5,-22.047796201543406,
36,30/03/2025,03,4,48.432935565753525,
37,2025-03-11,004,20,$155.26,urgent
38,2025-01-29,004,,$183.57,urgent
39,2025-02-12,004,1,$33.02,
40,11/02/2025,1,7,,urgent
41,2025-01-08,03,5,,
42,2025-03-16,03,1,,
43,2025-01-29,1,,$98.59,
44,"Jan 24, 2025",X,9,,
45,12/03/2025,2,9,,urgent
46,"Mar 24, 2025",1,3,70.73903820054491,
47,21/03/2025,004,4,$137.58,
48,,1,1,,
49,"Mar 24, 2025",004,20,309.6414250887744,
50,"Mar 04, 2025",03,,,urgent
51,23/01/2025,X,2,400.9800740131287,
52,"Feb 03, 2025",X,3,,
53,03/03/2025,1,,$70.66,
54,13/01/2025,004,3,$42.77,
55,2025-02-14,004,,,
56,19/02/2025,1,3,,urgent
57,18/01/2025,1,3,,urgent
58,"Mar 22, 2025",1,2,$49.97,
59,2025-01-09,03,,-69.05271363584038,
60,18/01/2025,2,,388.52640255802265,
61,"Jan 25, 2025",03,7,$147.12,
62,2025-01-27,03,0,491.6132442835027,urgent
63,20/01/2025,03,7,409.6393022879386,
64,03/03/2025,2,,,
65,18/01/2025,03,12,,
66,2025-01-09,004,7,207.99769876337245,urgent
67,"Feb 13, 2025",1,,,
68,"Feb 22, 2025",1,20,-95.44463623372977,
69,2025-01-09,1,4,,
70,,1,,,urgent
71,26/03/2025,X,12,$122.45,
72,14/01/2025,03,6,,
73,"Feb 13, 2025",004,,$137.94,
74,"Mar 24, 2025",2,,,
75,10/01/2025,X,,$146.46,
76,2025-01-27,1,6,$187.96,
77,2025-02-01,X,,,
78,"Jan 30, 2025",2,20,$26.96,
79,18/02/2025,,16,$194.40,
80,"Mar 04, 2025",03,,$155.75,
81,14/01/2025,004,4,$163.00,
82,2025-03-20,004,16,58.39208997706942,urgent
83,21/02/2025,X,,-6.81913139390349,
84,20/01/2025,03,15,444.62074773677625,urgent
85,02/01/2025,2,6,,
86,,03,6,267.8610176180302,urgent
87,2025-03-08,1,,184.01943703481868,
88,19/02/2025,X,,$154.43,urgent
89,2025-02-17,004,,452.76932999862584,
90,03/03/2025,2,,$130.79,
91,2025-01-22,03,1,320.12785997844145,
92,"Jan 12, 2025",004,5,,
93,"Feb 06, 2025",X,,,urgent
94,2025-02-07,03,16,,
95,"Jan 30, 2025",004,16,263.3239479737485,urgent
96,"Mar 07, 2025",1,,-42.18465090149497,
97,"Jan 16, 2025",,,,
98,23/01/2025,03,10,326.403427721851,
99,10/01/2025,,9,491.3309748688454,urgent
100,"Mar 07, 2025",2,3,,
