sale_id,sale_date,product_id,quantity,revenue,notes
1,"Jan 07, 2025",1,14,$109.19,
2,"Jan 10, 2025",1,,416.20601050028915,urgent
3,16/03/2025,1,4,,
4,01/01/2025,1,10,498.73326037200184,
5,2025-03-01,X,7,$176.54,
6,2025-03-25,,,,
7,"Jan 07, 2025",1,,,urgent
8,,1,13,$169.57,
9,05/02/2025,,,$68.79,
10,2025-02-26,004,,81.45154270204458,
11,"Jan 18, 2025",004,,$134.20,
12,"Mar 03, 2025",03,,-62.54469122863235,urgent
13,20/02/2025,,,-78.74300763092052,urgent
14,2025-03-10,2,11,$128.25,
15,2025-03-09,03,15,,urgent
16,09/01/2025,1,,$57.41,
17,"Jan 25, 2025",03,,$152.74,urgent
18,2025-03-01,1,14,,
19,"Mar 07, 2025",X,19,$175.86,
20,18/02/2025,,6,14.80481066616504,
21,"Jan 26, 2025",03,,$19.65,
22,"Feb 21, 2025",2,10,,
23,16/03/2025,,4,435.4593596923024,
24,"Feb 22, 2025",004,20,,
25,2025-02-13,004,,,urgent
26,02/01/2025,,10,$189.35,
27,"Feb 02, 2025",,14,20.347375895704673,
28,02/01/2025,,10,,urgent
29,"Jan 18, 2025",2,19,,
30,2025-02-17,004,3,,urgent
31,20/03/2025,2,9,$114.23,
32,"Jan 12, 2025",1,10,,
33,"Jan 21, 2025",,11,,
34,20/02/2025,,3,,urgent
35,04/03/2025,X,3,,urgent
36,2025-01-11,X,,$98.49,
37,2025-01-27,1,9,422.3590553502785,
38,06/03/2025,X,20,$41.18,urgent
39,2025-03-09,,,,urgent
40,2025-02-07,2,,,
41,28/03/2025,004,7,$116.45,urgent
42,13/03/2025,03,8,,urgent
43,"Mar 24, 2025",03,0,$96.20,
44,,2,,361.07478381867975,
45,2025-02-27,X,5,,urgent
46,2025-02-27,X,,,urgent
47,28/02/2025,004,6,444.46432693720544,
48,04/03/2025,1,,,
49,2025-02-08,X,0,,
50,2025-03-10,1,,129.67824303162635,
51,"Jan 31, 2025",03,9,$130.75,
52,"Jan 18, 2025",X,8,,
53,13/03/2025,,9,-27.378508116147415,
54,2025-02-26,,16,$131.53,
55,"Jan 06, 2025",X,18,$182.49,urgent
56,2025-01-27,,15,,
57,"Feb 11, 2025",2,20,158.6187947356458,
58,2025-03-10,1,10,-80.10383570301335,urgent
59,2025-02-08,004,2,,
60,2025-02-27,,7,352.44034315717875,
61,"Mar 03, 2025",1,6,,
62,"Feb 19, 2025",1,,$88.75,
63,"Jan 07, 2025",03,3,,urgent
64,2025-01-23,2,18,,
65,"Feb 19, 2025",,,,
66,05/02/2025,,6,,
67,"Mar 24, 2025",X,14,419.7998006436875,
68,24/01/2025,X,,56.04309046855772,urgent
69,2025-01-16,2,,259.6268318184248,
70,"Jan 21, 2025",03,5,$128.43,
71,"Feb 22, 2025",004,3,$136.96,urgent
72,2025-02-03,03,6,$165.61,urgent
73,"Mar 15, 2025",03,,,urgent
74,2025-01-16,1,1,$83.85,urgent
75,"Jan 19, 2025",03,19,$138.50,urgent
76,08/03/2025,03,,$69.21,
77,2025-02-10,X,8,,
78,18/02/2025,004,,$27.31,
79,"Jan 21, 2025",004,11,$45.80,urgent
80,"Feb 02, 2025",,,,
81,"Jan 18, 2025",,,,
82,11/03/2025,03,5,$17.90,
83,2025-01-05,03,9,-41.84301824517047,urgent
84,20/03/2025,2,,$135.73,
85,08/03/2025,,20,311.500599005508,
86,"Feb 09, 2025",004,19,215.14198652628687,
87,2025-02-27,03,,,
88,2025-03-25,03,10,340.0499712052961,
89,11/03/2025,,,256.08550854962016,urgent
90,2025-02-27,X,,,urgent
91,"Jan 18, 2025",1,11,-51.76001659397531,urgent
92,2025-03-22,,2,101.50230438150908,
93,"Jan 07, 2025",X,,$86.34,urgent
94,16/03/2025,03,9,188.81947057767167,
95,"Jan 13, 2025",004,7,,
96,2025-03-14,2,4,-89.57488835449135,
97,2025-01-28,004,7,$187.37,
98,,1,3,102.7084405789411,
99,2025-03-01,,,,
100,2025-02-27,,5,$120.59,
